LOAN_NO,age,channel,education,income,install_num,is_attach,is_fam_know,is_fam_reg_add,is_insuuance,is_reg_live,live_build_type,loan_amt,mar_level,mar_status,mobile_time_span,mth_repay_amt,mth_repay_date,mth_tel_bill,nation,no_close_loan,sex,str_level,unit_prov,unit_scale,FPD30,unit_is_live,reg_is_unit
660002019021301038,40.0,PC,初中,7102.0,3.0,1.0,否,0.0,1.0,否,租赁,2000.0,A1,已婚有子女,5010.0,842.0,13.0,50-100,汉族,1.0,男,0.0,新疆,20-50,0.0,1,0
660002019031500234,28.0,微信,中专,3000.0,4.0,2.0,否,1.0,1.0,是,全款,3000.0,A1,已婚有子女,33.0,951.0,15.0,150-200,汉族,0.0,男,0.0,河南,20-50,0.0,1,1
660002019020201245,29.0,微信,初中,7105.0,9.0,1.0,是,0.0,1.0,是,与父母同住,4000.0,A1,已婚无子女,5008.0,638.0,2.0,50-100,回族,1.0,男,0.0,青海,0-5,0.0,1,1
660002019020900401,33.0,微信,中专,7103.0,4.0,1.0,否,1.0,1.0,否,全款,3000.0,A1,已婚有子女,5009.0,966.0,9.0,50-100,汉族,1.0,女,0.0,新疆,50-100,0.0,1,1
660002019031200401,22.0,微信,大专,7102.0,4.0,1.0,否,1.0,1.0,否,宿舍,3000.0,A1,未婚,5010.0,966.0,12.0,50-100,汉族,0.0,男,0.0,山西,5-10,0.0,1,1
660002019030201744,35.0,PC,初中,7104.0,4.0,1.0,否,1.0,1.0,否,租赁,3000.0,A1,未婚,5010.0,966.0,2.0,50-100,汉族,1.0,女,0.0,海南,0-5,0.0,1,1
660002019021903751,23.0,微信,中专,3000.0,4.0,1.0,是,1.0,1.0,否,宿舍,3000.0,A1,未婚,36.0,966.0,19.0,150-200,汉族,0.0,男,0.0,云南,5-10,0.0,1,1
660002019031500939,31.0,PC,大专,7103.0,4.0,1.0,miss,miss,1.0,是,自建房,3000.0,A1,已婚有子女,5010.0,966.0,15.0,50-100,汉族,1.0,男,0.0,云南,0-5,0.0,1,0
660002019022702860,39.0,微信,初中,7102.0,4.0,1.0,miss,miss,1.0,否,自建房,3000.0,A1,已婚有子女,5010.0,966.0,27.0,50-100,维吾尔族,0.0,女,0.0,新疆,0-5,0.0,1,1
660002019030302511,22.0,PC,高中,4700.0,4.0,1.0,否,1.0,1.0,否,与父母同住,3000.0,A1,未婚,52.0,966.0,3.0,0-100元,汉族,0.0,男,0.0,海南,0-5,0.0,1,1
660002019030703676,19.0,PC,中专,7105.0,3.0,1.0,是,miss,1.0,否,租赁,2000.0,A1,未婚,5010.0,842.0,7.0,150-200,汉族,2.0,男,0.0,西藏,5-10,0.0,1,0
